"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","IRL","Ireland","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.182542316627925,,
"CPALTT01","Consumer prices: all items","IRL","Ireland","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.289879079012778,,
"CPALTT01","Consumer prices: all items","IRL","Ireland","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.00830633773570249,,
"CPALTT01","Consumer prices: all items","ITA","Italy","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.24105754276825,,
"CPALTT01","Consumer prices: all items","ITA","Italy","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.0387867504460633,,
"CPALTT01","Consumer prices: all items","ITA","Italy","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.094021401985132,,
"CPALTT01","Consumer prices: all items","JPN","Japan","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.7,,
"CPALTT01","Consumer prices: all items","JPN","Japan","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.8,,
"CPALTT01","Consumer prices: all items","JPN","Japan","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.1,,
"CPALTT01","Consumer prices: all items","KOR","Korea","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.27477446401325,,
"CPALTT01","Consumer prices: all items","KOR","Korea","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.706331772455686,,
"CPALTT01","Consumer prices: all items","KOR","Korea","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.971685739912204,,
"CPALTT01","Consumer prices: all items","LUX","Luxembourg","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.628543985440706,,
"CPALTT01","Consumer prices: all items","LUX","Luxembourg","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.474743161437791,,
"CPALTT01","Consumer prices: all items","LUX","Luxembourg","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.290833333333307,,
"CPALTT01","Consumer prices: all items","MEX","Mexico","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,4.01861720190995,,
"CPALTT01","Consumer prices: all items","MEX","Mexico","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.72064126257004,,
"CPALTT01","Consumer prices: all items","MEX","Mexico","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.82170775169716,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.976035079699632,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.600248147278764,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.316666666666676,,
"CPALTT01","Consumer prices: all items","NZL","New Zealand","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.22751326034659,,
"CPALTT01","Consumer prices: all items","NZL","New Zealand","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.292703309026911,,
"CPALTT01","Consumer prices: all items","NZL","New Zealand","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.646237225422794,,
"CPALTT01","Consumer prices: all items","NOR","Norway","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.04170286707213,,
"CPALTT01","Consumer prices: all items","NOR","Norway","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.17113665389526,,
"CPALTT01","Consumer prices: all items","NOR","Norway","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.55000000000001,,
"CPALTT01","Consumer prices: all items","POL","Poland","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.075,,
"CPALTT01","Consumer prices: all items","POL","Poland","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.0583333333333333,,
"CPALTT01","Consumer prices: all items","POL","Poland","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.075,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.278153367467448,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.487938623904743,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.60739707464168,,
"CPALTT01","Consumer prices: all items","SVK","Slovak Republic","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.076165329541994,,
"CPALTT01","Consumer prices: all items","SVK","Slovak Republic","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.32521977742772,,
"CPALTT01","Consumer prices: all items","SVK","Slovak Republic","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.520010196278353,,
"CPALTT01","Consumer prices: all items","ESP","Spain","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.151114837527186,,
